DME channel number,VHF frequency MHz,MLS angle frequency MHz,MLS channel number,Interrogation Frequency MHz,DME/N,Initial approach,Final approach,Reply Frequency MHz,Pulse codes,GP Frequency MHz,LOC Sequence Number
23X,108.60,,,1047,12,,,984,12,,
23Y,108.65,5046.6,552,1047,36,36,42,1110,30,,
23Z,,5046.9,553,1047,,21,27,1110,15,,
24X,108.70,5032.8,506,1048,12,12,18,985,12,330.50,14
24W,,5033.1,507,1048,,24,30,985,24,,
24Y,108.75,5047.2,554,1048,36,36,42,1111,30,330.35,
24Z,,5047.5,555,1048,,21,27,1111,15,,
25X,108.80,,,1049,12,,,986,12,,
25Y,108.85,5047.8,556,1049,36,36,42,1112,30,,
25Z,,5048.1,557,1049,,21,27,1112,15,,
26X,108.90,5033.4,508,1050,12,12,18,987,12,329.30,15
26W,,5033.7,509,1050,,24,30,987,24,,
26Y,108.95,5048.4,558,1050,36,36,42,1113,30,329.15,
26Z,,5048.7,559,1050,,21,27,1113,15,,
27X,109.00,,,1051,12,,,988,12,,
27Y,109.05,5049.0,560,1051,36,36,42,1114,30,,
27Z,,5049.3,561,1051,,21,27,1114,15,,
28X,109.10,5034.0,510,1052,12,12,18,989,12,331.40,7
28W,,5034.3,511,1052,,24,30,989,24,,
28Y,109.15,5049.6,562,1052,36,36,42,1115,30,331.25,
28Z,,5049.9,563,1052,,21,27,1115,15,,
29X,109.20,,,1053,12,,,990,12,,
29Y,109.25,5050.2,564,1053,36,36,42,1116,30,,
29Z,,5050.5,565,1053,,21,27,1116,15,,
30X,109.30,5034.6,512,1054,12,12,18,991,12,332.00,6
30W,,5034.9,513,1054,,24,30,991,24,,
30Y,109.35,5050.8,566,1054,36,36,42,1117,30,331.85,
30Z,,5051.1,567,1054,,21,27,1117,15,,
31X,109.40,,,1055,12,,,992,12,,
31Y,109.45,5051.4,568,1055,36,36,42,1118,30,,
31Z,,5051.7,569,1055,,21,27,1118,15,,
32X,109.50,5035.2,514,1056,12,12,18,993,12,332.60,3
32W,,5035.5,515,1056,,24,30,993,24,,
32Y,109.55,5052.0,570,1056,36,36,42,1119,30,332.45,
32Z,,5052.3,571,1056,,21,27,1119,15,,
33X,109.60,,,1057,12,,,994,12,,
33Y,109.65,5052.6,572,1057,36,36,42,1120,30,,
33Z,,5052.9,573,1057,,21,27,1120,15,,
34X,109.70,5035.8,516,1058,12,12,18,995,12,333.20,5
34W,,5036.1,517,1058,,24,30,995,24,,
34Y,109.75,5053.2,574,1058,36,36,42,1121,30,333.05,
34Z,,5053.5,575,1058,,21,27,1121,15,,
35X,109.80,,,1059,12,,,996,12,,
35Y,109.85,5053.8,576,1059,36,36,42,1122,30,,
35Z,,5054.1,577,1059,,21,27,1122,15,,
36X,109.90,5036.4,518,1060,12,12,18,997,12,333.80,2
36W,,5036.7,519,1060,,24,30,997,24,,
36Y,109.95,5054.4,578,1060,36,36,42,1123,30,333.65,
36Z,,5054.7,579,1060,,21,27,1123,15,,
37X,110.00,,,1061,12,,,998,12,,
37Y,110.05,5055.0,580,1061,36,36,42,1124,30,,
37Z,,5055.3,581,1061,,21,27,1124,15,,
38X,110.10,5037.0,520,1062,12,12,18,999,12,334.40,4
38W,,5037.3,521,1062,,24,30,999,24,,
38Y,110.15,5055.6,582,1062,36,36,42,1125,30,334.25,
38Z,,5055.9,583,1062,,21,27,1125,15,,
39X,110.20,,,1063,12,,,1000,12,,
39Y,110.25,5056.2,584,1063,36,36,42,1126,30,,
39Z,,5056.5,585,1063,,21,27,1126,15,,
40X,110.30,5037.6,522,1064,12,12,18,1001,12,335.00,1
40W,,5037.9,523,1064,,24,30,1001,24,,
40Y,110.35,5056.8,586,1064,36,36,42,1127,30,334.85,
40Z,,5057.1,587,1064,,21,27,1127,15,,
41X,110.40,,,1065,12,,,1002,12,,
41Y,110.45,5057.4,588,1065,36,36,42,1128,30,,
41Z,,5057.7,589,1065,,21,27,1128,15,,
42X,110.50,5038.2,524,1066,12,12,18,1003,12,329.60,10
42W,,5038.5,525,1066,,24,30,1003,24,,
42Y,110.55,5058.0,590,1066,36,36,42,1129,30,329.45,
42Z,,5058.3,591,1066,,21,27,1129,15,,
43X,110.60,,,1067,12,,,1004,12,,
43Y,110.65,5058.6,592,1067,36,36,42,1130,30,,
43Z,,5058.9,593,1067,,21,27,1130,15,,
44X,110.70,5038.8,526,1068,12,12,18,1005,12,330.20,9
44W,,5039.1,527,1068,,24,30,1005,24,,
44Y,110.75,5059.2,594,1068,36,36,42,1131,30,330.05,
44Z,,5059.5,595,1068,,21,27,1131,15,,
45X,110.80,,,1069,12,,,1006,12,,
45Y,110.85,5059.8,596,1069,36,36,42,1132,30,,
45Z,,5060.1,597,1069,,21,27,1132,15,,
46X,110.90,5039.4,528,1070,12,12,18,1007,12,330.80,8
46W,,5039.7,529,1070,,24,30,1007,24,,
46Y,110.95,5060.4,598,1070,36,36,42,1133,30,330.65,
46Z,,5060.7,599,1070,,21,27,1133,15,,
47X,111.00,,,1071,12,,,1008,12,,
47Y,111.05,5061.0,600,1071,36,36,42,1134,30,,
47Z,,5061.3,601,1071,,21,27,1134,15,,
48X,111.10,5040.0,530,1072,12,12,18,1009,12,331.70,16
48W,,5040.3,531,1072,,24,30,1009,24,,
48Y,111.15,5061.6,602,1072,36,36,42,1135,30,331.55,
48Z,,5061.9,603,1072,,21,27,1135,15,,
49X,111.20,,,1073,12,,,1010,12,,
49Y,111.25,5062.2,604,1073,36,36,42,1136,30,,
49Z,,5062.5,605,1073,,21,27,1136,15,,
50X,111.30,5040.6,532,1074,12,12,18,1011,12,332.30,17
50W,,5040.9,533,1074,,24,30,1011,24,,
50Y,111.35,5062.8,606,1074,36,36,42,1137,30,332.15,
50Z,,5063.1,607,1074,,21,27,1137,15,,
51X,111.40,,,1075,12,,,1012,12,,
51Y,111.45,5063.4,608,1075,36,36,42,1138,30,,
51Z,,5063.7,609,1075,,21,27,1138,15,,
52X,111.50,5041.2,534,1076,12,12,18,1013,12,332.90,18
52W,,5041.5,535,1076,,24,30,1013,24,,
52Y,111.55,5064.0,610,1076,36,36,42,1139,30,332.75,
52Z,,5064.3,611,1076,,21,27,1139,15,,
53X,111.60,,,1077,12,,,1014,12,,
53Y,111.65,5064.6,612,1077,36,36,42,1140,30,,
53Z,,5064.9,613,1077,,21,27,1140,15,,
54X,111.70,5041.8,536,1078,12,12,18,1015,12,333.50,19
54W,,5042.1,537,1078,,24,30,1015,24,,
54Y,111.75,5065.2,614,1078,36,36,42,1141,30,333.35,
54Z,,5065.5,615,1078,,21,27,1141,15,,
55X,111.80,,,1079,12,,,1016,12,,
55Y,111.85,5065.8,616,1079,36,36,42,1142,30,,
55Z,,5066.1,617,1079,,21,27,1142,15,,
56X,111.90,5042.4,538,1080,12,12,18,1017,12,331.10,20
56W,,5042.7,539,1080,,24,30,1017,24,,
56Y,111.95,5066.4,618,1080,36,36,42,1143,30,330.95,
56Z,,5066.7,619,1080,,21,27,1143,15,,
57X,112.00,,,1081,12,,,1018,12,,
57Y,112.05,,,1081,36,,,1144,30,,
58X,112.10,,,1082,12,,,1019,12,,
58Y,112.15,,,1082,36,,,1145,30,,
59X,112.20,,,1083,12,,,1020,12,,
59Y,112.25,,,1083,36,,,1146,30,,
60X,,,,1084,12,,,1021,12,,
60Y,,,,1084,36,,,1147,30,,
61X,,,,1085,12,,,1022,12,,
61Y,,,,1085,36,,,1148,30,,
62X,,,,1086,12,,,1023,12,,
62Y,,,,1086,36,,,1149,30,,
63X,,,,1087,12,,,1024,12,,
63Y,,,,1087,36,,,1150,30,,
64X,,,,1088,12,,,1151,12,,
64Y,,,,1088,36,,,1025,30,,
65X,,,,1089,12,,,1152,12,,
65Y,,,,1089,36,,,1026,30,,
66X,,,,1090,12,,,1153,12,,
66Y,,,,1090,36,,,1027,30,,
67X,,,,1091,12,,,1154,12,,
67Y,,,,1091,36,,,1028,30,,
68X,,,,1092,12,,,1155,12,,
68Y,,,,1092,36,,,1029,30,,
69X,,,,1093,12,,,1156,12,,
69Y,,,,1093,36,,,1030,30,,
70X,112.30,,,1094,12,,,1157,12,,
70Y,112.35,,,1094,36,,,1031,30,,
71X,112.40,,,1095,12,,,1158,12,,
71Y,112.45,,,1095,36,,,1032,30,,
72X,112.50,,,1096,12,,,1159,12,,
72Y,112.55,,,1096,36,,,1033,30,,
73X,112.60,,,1097,12,,,1160,12,,
73Y,112.65,,,1097,36,,,1034,30,,
74X,112.70,,,1098,12,,,1161,12,,
74Y,112.75,,,1098,36,,,1035,30,,
75X,112.80,,,1099,12,,,1162,12,,
75Y,112.85,,,1099,36,,,1036,30,,
76X,112.90,,,1100,12,,,1163,12,,
76Y,112.95,,,1100,36,,,1037,30,,
77X,113.00,,,1101,12,,,1164,12,,
77Y,113.05,,,1101,36,,,1038,30,,
78X,113.10,,,1102,12,,,1165,12,,
78Y,113.15,,,1102,36,,,1039,30,,
79X,113.20,,,1103,12,,,1166,12,,
79Y,113.25,,,1103,36,,,1040,30,,
80X,113.30,,,1104,12,,,1167,12,,
80Y,113.35,5067.0,620,1104,36,36,42,1041,30,,
80Z,,5067.3,621,1104,,21,27,1041,15,,
81X,113.40,,,1105,12,,,1168,12,,
81Y,113.45,5067.6,622,1105,36,36,42,1042,30,,
81Z,,5067.9,623,1105,,21,27,1042,15,,
82X,113.50,,,1106,12,,,1169,12,,
82Y,113.55,5068.2,624,1106,36,36,42,1043,30,,
82Z,,5068.5,625,1106,,21,27,1043,15,,
83X,113.60,,,1107,12,,,1170,12,,
83Y,113.65,5068.8,626,1107,36,36,42,1044,30,,
83Z,,5069.1,627,1107,,21,27,1044,15,,
84X,113.70,,,1108,12,,,1171,12,,
84Y,113.75,5069.4,628,1108,36,36,42,1045,30,,
84Z,,5069.7,629,1108,,21,27,1045,15,,
85X,113.80,,,1109,12,,,1172,12,,
85Y,113.85,5070.0,630,1109,36,36,42,1046,30,,
85Z,,5070.3,631,1109,,21,27,1046,15,,
86X,113.90,,,1110,12,,,1173,12,,
86Y,113.95,5070.6,632,1110,36,36,42,1047,30,,
86Z,,5070.9,633,1110,,21,27,1047,15,,
87X,114.00,,,1111,12,,,1174,12,,
87Y,114.05,5071.2,634,1111,36,36,42,1048,30,,
87Z,,5071.5,635,1111,,21,27,1048,15,,
88X,114.10,,,1112,12,,,1175,12,,
88Y,114.15,5071.8,636,1112,36,36,42,1049,30,,
88Z,,5072.1,637,1112,,21,27,1049,15,,
89X,114.20,,,1113,12,,,1176,12,,
89Y,114.25,5072.4,638,1113,36,36,42,1050,30,,
89Z,,5072.7,639,1113,,21,27,1050,15,,
90X,114.30,,,1114,12,,,1177,12,,
90Y,114.35,5073.0,640,1114,36,36,42,1051,30,,
90Z,,5073.3,641,1114,,21,27,1051,15,,
91X,114.40,,,1115,12,,,1178,12,,
91Y,114.45,5073.6,642,1115,36,36,42,1052,30,,
91Z,,5073.9,643,1115,,21,27,1052,15,,
92X,114.50,,,1116,12,,,1179,12,,
92Y,114.55,5074.2,644,1116,36,36,42,1053,30,,
92Z,,5074.5,645,1116,,21,27,1053,15,,
93X,114.60,,,1117,12,,,1180,12,,
93Y,114.65,5074.8,646,1117,36,36,42,1054,30,,
93Z,,5075.1,647,1117,,21,27,1054,15,,
94X,114.70,,,1118,12,,,1181,12,,
94Y,114.75,5075.4,648,1118,36,36,42,1055,30,,
94Z,,5075.7,649,1118,,21,27,1055,15,,
95X,114.80,,,1119,12,,,1182,12,,
95Y,114.85,5076.0,650,1119,36,36,42,1056,30,,
95Z,,5076.3,651,1119,,21,27,1056,15,,
96X,114.90,,,1120,12,,,1183,12,,
96Y,114.95,5076.6,652,1120,36,36,42,1057,30,,
96Z,,5076.9,653,1120,,21,27,1057,15,,
97X,115.00,,,1121,12,,,1184,12,,
97Y,115.05,5077.2,654,1121,36,36,42,1058,30,,
97Z,,5077.5,655,1121,,21,27,1058,15,,
98X,115.10,,,1122,12,,,1185,12,,
98Y,115.15,5077.8,656,1122,36,36,42,1059,30,,
98Z,,5078.1,657,1122,,21,27,1059,15,,
99X,115.20,,,1123,12,,,1186,12,,
99Y,115.25,5078.4,658,1123,36,36,42,1060,30,,
99Z,,5078.7,659,1123,,21,27,1060,15,,
100X,115.30,,,1124,12,,,1187,12,,
100Y,115.35,5079.0,660,1124,36,36,42,1061,30,,
100Z,,5079.3,661,1124,,21,27,1061,15,,
101X,115.40,,,1125,12,,,1188,12,,
101Y,115.45,5079.6,662,1125,36,36,42,1062,30,,
101Z,,5079.9,663,1125,,21,27,1062,15,,
102X,115.50,,,1126,12,,,1189,12,,
102Y,115.55,5080.2,664,1126,36,36,42,1063,30,,
102Z,,5080.5,665,1126,,21,27,1063,15,,
103X,115.60,,,1127,12,,,1190,12,,
103Y,115.65,5080.8,666,1127,36,36,42,1064,30,,
103Z,,5081.1,667,1127,,21,27,1064,15,,
104X,115.70,,,1128,12,,,1191,12,,
104Y,115.75,5081.4,668,1128,36,36,42,1065,30,,
104Z,,5081.7,669,1128,,21,27,1065,15,,
105X,115.80,,,1129,12,,,1192,12,,
105Y,115.85,5082.0,670,1129,36,36,42,1066,30,,
105Z,,5082.3,671,1129,,21,27,1066,15,,
106X,115.90,,,1130,12,,,1193,12,,
106Y,115.95,5082.6,672,1130,36,36,42,1067,30,,
106Z,,5082.9,673,1130,,21,27,1067,15,,
107X,116.00,,,1131,12,,,1194,12,,
107Y,116.05,5083.2,674,1131,36,36,42,1068,30,,
107Z,,5083.5,675,1131,,21,27,1068,15,,
108X,116.10,,,1132,12,,,1195,12,,
108Y,116.15,5083.8,676,1132,36,36,42,1069,30,,
108Z,,5084.1,677,1132,,21,27,1069,15,,
109X,116.20,,,1133,12,,,1196,12,,
109Y,116.25,5084.4,678,1133,36,36,42,1070,30,,
109Z,,5084.7,679,1133,,21,27,1070,15,,
110X,116.30,,,1134,12,,,1197,12,,
110Y,116.35,5085.0,680,1134,36,36,42,1071,30,,
110Z,,5085.3,681,1134,,21,27,1071,15,,
111X,116.40,,,1135,12,,,1198,12,,
111Y,116.45,5085.6,682,1135,36,36,42,1072,30,,
111Z,,5085.9,683,1135,,21,27,1072,15,,
112X,116.50,,,1136,12,,,1199,12,,
112Y,116.55,5086.2,684,1136,36,36,42,1073,30,,
112Z,,5086.5,685,1136,,21,27,1073,15,,
113X,116.60,,,1137,12,,,1200,12,,
113Y,116.65,5086.8,686,1137,36,36,42,1074,30,,
113Z,,5087.1,687,1137,,21,27,1074,15,,
114X,116.70,,,1138,12,,,1201,12,,
114Y,116.75,5087.4,688,1138,36,36,42,1075,30,,
114Z,,5087.7,689,1138,,21,27,1075,15,,
115X,116.80,,,1139,12,,,1202,12,,
115Y,116.85,5088.0,690,1139,36,36,42,1076,30,,
115Z,,5088.3,691,1139,,21,27,1076,15,,
116X,116.90,,,1140,12,,,1203,12,,
116Y,116.95,5088.6,692,1140,36,36,42,1077,30,,
116Z,,5088.9,693,1140,,21,27,1077,15,,
117X,117.00,,,1141,12,,,1204,12,,
117Y,117.05,5089.2,694,1141,36,36,42,1078,30,,
117Z,,5089.5,695,1141,,21,27,1078,15,,
118X,117.10,,,1142,12,,,1205,12,,
118Y,117.15,5089.8,696,1142,36,36,42,1079,30,,
118Z,,5090.1,697,1142,,21,27,1079,15,,
119X,117.20,,,1143,12,,,1206,12,,
119Y,117.25,5090.4,698,1143,36,36,42,1080,30,,
119Z,,5090.7,699,1143,,21,27,1080,15,,
120X,117.30,,,1144,12,,,1207,12,,
120Y,117.35,,,1144,36,,,1081,30,,
121X,117.40,,,1145,12,,,1208,12,,
121Y,117.45,,,1145,36,,,1082,30,,
122X,117.50,,,1146,12,,,1209,12,,
122Y,117.55,,,1146,36,,,1083,30,,
123X,117.60,,,1147,12,,,1210,12,,
123Y,117.65,,,1147,36,,,1084,30,,
124X,117.70,,,1148,12,,,1211,12,,
124Y,117.75,,,1148,36,,,1085,30,,
125X,117.80,,,1149,12,,,1212,12,,
125Y,117.85,,,1149,36,,,1086,30,,
126X,117.90,,,1150,12,,,1213,12,,
126Y,117.95,,,1150,36,,,1087,30,,
